date,ticker,open,high,low,close,volume,close_usd,usdcad,fx_series,daily_return,extreme_move,company_name,sector,in_portfolio
2010-09-17,AAPL,8.590412,8.603708,8.471513,8.523932,755610944,8.25083,1.0331,IEXE0101 (noon),,False,Apple Inc.,Technology,True
2010-09-20,AAPL,8.505368,8.741616,8.498018,8.725084,784851886,8.48661,1.0281,IEXE0101 (noon),0.02359849890871968,False,Apple Inc.,Technology,True
2010-09-21,AAPL,8.771742,8.881359,8.739879,8.770525,794380794,8.50269,1.0315,IEXE0101 (noon),0.0052080873949178486,False,Apple Inc.,Technology,True
2010-09-22,AAPL,8.753878,8.910848,8.738274,8.903764,696980330,8.62183,1.0327,IEXE0101 (noon),0.015191678947383602,False,Apple Inc.,Technology,True
2010-09-23,AAPL,8.850238,9.044076,8.834897,8.925202,935496301,8.65684,1.031,IEXE0101 (noon),0.0024077457578615125,False,Apple Inc.,Technology,True
2010-09-24,AAPL,8.979171,9.026924,8.93427,8.989156,772312756,8.7588,1.0263,IEXE0101 (noon),0.007165552107391893,False,Apple Inc.,Technology,True
2010-09-27,AAPL,9.037983,9.059836,8.946135,8.950834,575108085,8.72401,1.026,IEXE0101 (noon),-0.004263136605928142,False,Apple Inc.,Technology,True
2010-09-28,AAPL,9.007392,9.010031,8.492257,8.858254,1232719783,8.59524,1.0306,IEXE0101 (noon),-0.010343170256536971,False,Apple Inc.,Technology,True
2010-09-29,AAPL,8.862388,8.943923,8.826328,8.868949,559016145,8.61063,1.03,IEXE0101 (noon),0.001207348536178765,False,Apple Inc.,Technology,True
2010-09-30,AAPL,8.917048,8.948262,8.677764,8.755257,801917320,8.5019,1.0298,IEXE0101 (noon),-0.01281910629996863,False,Apple Inc.,Technology,True
2010-10-01,AAPL,8.763479,8.771723,8.61102,8.647529,534070930,8.46552,1.0215,IEXE0101 (noon),-0.012304378957693651,False,Apple Inc.,Technology,True
2010-10-04,AAPL,8.63809,8.675045,8.517369,8.544622,518000883,8.34925,1.0234,IEXE0101 (noon),-0.011900162462594843,False,Apple Inc.,Technology,True
2010-10-05,AAPL,8.60224,8.818452,8.58649,8.802987,595569266,8.65754,1.0168,IEXE0101 (noon),0.030237147997886904,False,Apple Inc.,Technology,True
2010-10-06,AAPL,8.743777,8.812636,8.609927,8.728637,797323997,8.66538,1.0073,IEXE0101 (noon),-0.008445996796314637,False,Apple Inc.,Technology,True
2010-10-07,AAPL,8.844044,8.84812,8.739304,8.810222,485732107,8.66636,1.0166,IEXE0101 (noon),0.009346820127815958,False,Apple Inc.,Technology,True
2010-10-08,AAPL,8.860618,8.943368,8.807495,8.931711,782832817,8.81187,1.0136,IEXE0101 (noon),0.013789550365473247,False,Apple Inc.,Technology,True
2010-10-11,AAPL,8.952511,9.026818,8.946642,8.970208,508638490,8.84985,1.0136,IEXE0101 (noon),0.004310148413892767,False,Apple Inc.,Technology,True
2010-10-12,AAPL,8.948513,9.072562,8.86002,9.043698,663806511,8.9453,1.011,IEXE0101 (noon),0.008192675130832994,False,Apple Inc.,Technology,True
2010-10-13,AAPL,9.01713,9.074111,9.01014,9.02018,741159443,8.9932,1.003,IEXE0101 (noon),-0.002600484890141086,False,Apple Inc.,Technology,True
2010-10-14,AAPL,9.068409,9.096098,9.033283,9.091171,516620230,9.05856,1.0036,IEXE0101 (noon),0.00787024205725384,False,Apple Inc.,Technology,True
2010-10-15,AAPL,9.311227,9.541325,9.235053,9.533391,1093266427,9.43153,1.0108,IEXE0101 (noon),0.048642798600972315,False,Apple Inc.,Technology,True
2010-10-18,AAPL,9.684582,9.700546,9.55911,9.669653,1285333883,9.52769,1.0149,IEXE0101 (noon),0.014293130324771086,False,Apple Inc.,Technology,True
2010-10-19,AAPL,9.363992,9.683281,9.257583,9.55089,1464130452,9.27451,1.0298,IEXE0101 (noon),-0.012282033284958582,False,Apple Inc.,Technology,True
2010-10-20,AAPL,9.486675,9.647491,9.420339,9.532921,855580966,9.30495,1.0245,IEXE0101 (noon),-0.0018813953464023037,False,Apple Inc.,Technology,True
2010-10-21,AAPL,9.57599,9.651285,9.407084,9.490606,652415487,9.27451,1.0233,IEXE0101 (noon),-0.004438828350722734,False,Apple Inc.,Technology,True
2010-10-22,AAPL,9.503343,9.534676,9.418755,9.455015,440999245,9.21272,1.0263,IEXE0101 (noon),-0.0037501293384215595,False,Apple Inc.,Technology,True
