ticker,month,close,monthly_return_pct
AAPL,2010-10,9.187773,4.94007200473956
AAPL,2010-11,9.569743,4.157373065268377
AAPL,2010-12,9.612879,0.45075400666454435
AAPL,2011-01,10.188967,5.992876847820527
AAPL,2011-02,10.307271,1.1610990594041581
AAPL,2011-03,10.146661,-1.5582204057698723
AAPL,2011-04,9.951193,-1.9264268314473143
AAPL,2011-05,10.097512,1.470366417373281
AAPL,2011-06,9.698544,-3.9511515311890677
AAPL,2011-07,11.159651,15.06522009901692
AAPL,2011-08,11.282224,1.0983587210746881
AAPL,2011-09,11.868809,5.199196541391138
AAPL,2011-10,12.049168,1.5196048735808265
AAPL,2011-11,11.677706,-3.0828850589517787
AAPL,2011-12,12.339871,5.670334567422741
AAPL,2012-01,13.749327,11.421967052978088
AAPL,2012-02,16.036196,16.63258863506556
AAPL,2012-03,17.947233,11.917021967055042
AAPL,2012-04,17.294232,-3.6384494478898244
AAPL,2012-05,17.912774,3.5765797521393194
AAPL,2012-06,17.832416,-0.4486072341447489
AAPL,2012-07,18.327523,2.7764437527702412
AAPL,2012-08,19.742964,7.723034913119475
AAPL,2012-09,19.746794,0.019399316131063493
AAPL,2012-10,17.907934,-9.312195184696815
AAPL,2012-11,17.573979,-1.8648438172711557
AAPL,2012-12,16.00416,-8.9326327293324
AAPL,2013-01,13.757585,-14.037444014556211
AAPL,2013-02,13.803704,0.3352259862468454
AAPL,2013-03,13.668351,-0.9805556537578641
AAPL,2013-04,13.558221,-0.8057299669872342
AAPL,2013-05,14.23122,4.9637706893846945
AAPL,2013-06,12.832419,-9.82910108901416
AAPL,2013-07,14.247701,11.02895720596404
AAPL,2013-08,15.932075,11.82207571593481
AAPL,2013-09,15.194442,-4.629861458723983
AAPL,2013-10,16.892894,11.178113681305302
AAPL,2013-11,18.264515,8.1195146314184
AAPL,2013-12,18.488772,1.2278289349594074
AAPL,2014-01,17.248126,-6.710267182698781
AAPL,2014-02,18.169756,5.343363099272347
AAPL,2014-03,18.492553,1.776562106832924
AAPL,2014-04,20.155621,8.9931768750372
AAPL,2014-05,21.564692,6.990958006205816
AAPL,2014-06,21.770072,0.9523901384726363
AAPL,2014-07,22.846567,4.9448389513824464
AAPL,2014-08,24.543858,7.429085516436662
AAPL,2014-09,24.904961,1.4712560674039032
