ticker,year,close,annual_return_pct
AAPL,2011,12.339871,28.36810907533529
AAPL,2012,16.00416,29.694710746976185
AAPL,2013,18.488772,15.524788554975721
AAPL,2014,28.365721,53.42133593296514
AAPL,2015,32.820591,15.70511816004958
AAPL,2016,35.809138,9.105707450545285
AAPL,2017,49.6713,38.71124180649086
AAPL,2018,51.105933,2.888253377705019
AAPL,2019,91.932441,79.88604375934199
AAPL,2020,164.30646,78.725222797032
AAPL,2021,220.286589,34.07055875952778
AAPL,2022,173.200672,-21.37484502063809
AAPL,2023,252.022753,45.5091080708971
AAPL,2024,358.370995,42.19787330074916
AAPL,2025,372.263184,3.876482526159797
AAPL,2026,471.3956,26.629658870590855
AMZN,2011,8.802135,-1.6675045244319286
AMZN,2012,12.479528,41.778420803589135
AMZN,2013,21.207652,69.93953617476558
AMZN,2014,18.001852,-15.116242005479908
AMZN,2015,46.771588,159.81542343532215
AMZN,2016,50.342522,7.634835917908123
AMZN,2017,73.355006,45.711821906737214
AMZN,2018,102.449374,39.66241649547408
AMZN,2019,119.99873,17.1297835358174
AMZN,2020,207.335527,72.78143443684782
AMZN,2021,211.363813,1.9428826589858783
AMZN,2022,113.7696,-46.17356756333687
AMZN,2023,200.955844,76.63404283745396
AMZN,2024,315.680271,57.08937083710788
AMZN,2025,316.361892,0.21592131742689258
AMZN,2026,351.364572,11.064126522545891
MSFT,2011,20.830296,-2.376834872317457
MSFT,2012,21.558389,3.495355994941196
MSFT,2013,33.257921,54.26904579929421
MSFT,2014,46.272793,39.13314966380488
MSFT,2015,67.726455,46.36344730693045
MSFT,2016,75.617642,11.651557725854689
MSFT,2017,99.423265,31.48157277900836
MSFT,2018,130.613556,31.371219804539695
MSFT,2019,195.896705,49.98190922847243
MSFT,2020,273.738,39.73588784967057
MSFT,2021,415.612732,51.828658059896696
MSFT,2022,319.569326,-23.10887001411689
MSFT,2023,493.659127,54.47638018925509
MSFT,2024,606.49635,22.85731526645105
MSFT,2025,662.849572,9.29160117781418
MSFT,2026,696.2527,5.039322556883241
NVDA,2011,0.323158,-8.004532048873248
NVDA,2012,0.281547,-12.876363883920561
NVDA,2013,0.401846,42.72785716061615
NVDA,2014,0.558218,38.91341459165949
NVDA,2015,1.112999,99.3842907251289
NVDA,2016,3.530603,217.21528950160783
NVDA,2017,6.00287,70.02393075630422
NVDA,2018,4.516143,-24.766936482049417
NVDA,2019,7.608448,68.47225608223657
NVDA,2020,16.579101,117.90384845897614
NVDA,2021,37.225524,124.53282599581242
NVDA,2022,19.778845,-46.86751756671042
NVDA,2023,65.479281,231.05715222501618
NVDA,2024,193.229881,195.10079837315257
NVDA,2025,255.6169,32.286424168527006
NVDA,2026,306.812792,20.02836745144785
RY,2011,32.688922,2.4676619073794592
RY,2012,39.436841,20.642831231938462
RY,2013,48.886034,23.96031923550874
RY,2014,57.081676,16.764792169477282
RY,2015,55.59099,-2.6114965510122823
RY,2016,71.097173,27.89333847085651
RY,2017,83.045642,16.805828552423606
RY,2018,78.687056,-5.2484223073379415
RY,2019,90.885089,15.50195625567692
RY,2020,96.596538,6.284253074781065
RY,2021,129.562821,34.127810046360075
RY,2022,127.340688,-1.7151008158428516
RY,2023,133.754538,5.03676405454947
RY,2024,173.401839,29.641836152131162
RY,2025,233.673594,34.758428946073636
RY,2026,284.753716,21.859603871201628
SHOP,2016,5.756155,61.20432293767082
SHOP,2017,12.67045,120.12002803955073
SHOP,2018,18.887349,49.066126301749335
SHOP,2019,51.63769,173.3982942762375
SHOP,2020,144.119874,179.0982206988733
SHOP,2021,174.625504,21.166844761465708
SHOP,2022,47.011224,-73.0788327459888
SHOP,2023,103.03054,119.16157724376633
SHOP,2024,152.998237,48.49794730766235
SHOP,2025,220.625482,44.20132305184667
SHOP,2026,179.88568,-18.465592292734346
TD,2011,24.32125,5.607899412256234
TD,2012,27.801884,14.311081872847819
TD,2013,34.486698,24.0444640370415
TD,2014,39.616139,14.873679701083597
TD,2015,40.508711,2.2530514647073563
TD,2016,51.462334,27.040166743395023
TD,2017,59.097739,14.836880503709772
TD,2018,56.489203,-4.413935362231025
TD,2019,63.779262,12.905225446356528
TD,2020,66.190103,3.779976318948308
TD,2021,93.512041,41.27798078815499
TD,2022,87.710944,-6.20358291612948
TD,2023,85.466412,-2.5590101960366485
TD,2024,76.607036,-10.365915442899388
TD,2025,129.11052,68.53611200934601
TD,2026,170.387828,31.970522618915954
TSLA,2011,1.936368,9.66307101316557
TSLA,2012,2.246484,16.01534419077366
TSLA,2013,10.666525,374.809747142646
TSLA,2014,17.201151,61.2629323983209
TSLA,2015,22.144969,28.741204585669887
TSLA,2016,19.128104,-13.623252306201017
TSLA,2017,26.03928,36.1310038883101
TSLA,2018,30.267096,16.23630146455661
TSLA,2019,36.221844,19.67399845693818
TSLA,2020,299.485924,726.8102639942905
TSLA,2021,446.595228,49.120607084024414
TSLA,2022,166.834992,-62.642907595062795
TSLA,2023,328.639648,96.98484356327359
TSLA,2024,581.085376,76.81535978276119
TSLA,2025,616.386232,6.074986130781568
TSLA,2026,512.24056,-16.896171035825468
