date,portfolio_value,value_AAPL,value_MSFT,value_NVDA,value_AMZN,value_TSLA,value_RY,value_TD,profit_loss_cad,profit_loss_status,profit_loss_AAPL,profit_loss_MSFT,profit_loss_NVDA,profit_loss_AMZN,profit_loss_TSLA,profit_loss_RY,profit_loss_TD,portfolio_daily_return,portfolio_drawdown_pct
2010-10-01,100480.066,20290.0,19118.7036,15959.0001,15370.5581,10068.5131,9932.0599,9741.2314,480.066,Profit,290.0,-881.2964,959.0001,370.5581,68.5131,-67.9401,-258.7686,-0.0155,-3.0408
2010-10-04,100134.4621,20048.5457,18780.7756,15836.3484,15567.4551,10278.2078,9895.5643,9727.5652,134.4621,Profit,48.5457,-1219.2244,836.3484,567.4551,278.2078,-104.4357,-272.4348,-0.0034,-3.3743
2010-10-05,101760.7488,20654.7565,19003.9262,15845.954,16012.5231,10275.1934,10062.1522,9906.2434,1760.7488,Profit,654.7565,-996.0738,845.954,1012.5231,275.1934,62.1522,-93.7566,0.0162,-1.805
2010-10-06,99480.1287,20480.3065,18888.9491,14946.6288,15323.5365,9861.0935,10105.7847,9873.8296,-519.8713,Loss,480.3065,-1111.0509,-53.3712,323.5365,-138.9065,105.7847,-126.1704,-0.0224,-4.0057
2010-10-07,100230.7959,20671.7322,19140.3069,14976.106,15551.5926,9937.5445,10130.0897,9823.424,230.7959,Profit,671.7322,-859.6931,-23.894,551.5926,-62.4555,130.0897,-176.576,0.0075,-3.2813
2010-10-08,100571.8685,20956.7861,19114.1941,15154.3501,15434.2587,9908.2186,10127.7071,9876.3537,571.8685,Profit,956.7861,-885.8059,154.3501,434.2587,-91.7814,127.7071,-123.6463,0.0034,-2.9522
2010-10-11,100281.728,21047.113,19132.112,15081.5276,15184.214,9816.0497,10158.2111,9862.5005,281.728,Profit,1047.113,-867.888,81.5276,184.214,-183.9503,158.2111,-137.4995,-0.0029,-3.2322
2010-10-12,101139.5624,21219.5452,19266.1047,15336.0763,15486.7095,9790.8722,10141.1081,9899.1465,1139.5624,Profit,1219.5452,-733.8953,336.0763,486.7095,-209.1278,141.1081,-100.8535,0.0086,-2.4044
2010-10-13,101486.449,21164.3641,19509.5502,15657.9242,15235.539,9857.3685,10195.5614,9866.1416,1486.449,Profit,1164.3641,-490.4498,657.9242,235.539,-142.6315,195.5614,-133.8584,0.0034,-2.0697
2010-10-14,101431.5885,21330.9327,19437.623,15415.8028,15280.0213,9964.1071,10151.8663,9851.2353,1431.5885,Profit,1330.9327,-562.377,415.8028,280.0213,-35.8929,151.8663,-148.7647,-0.0005,-2.1226
2010-10-15,104132.2989,22368.529,19816.3366,15708.1736,16291.076,9934.0277,10227.1029,9787.0531,4132.2989,Profit,2368.529,-183.6634,708.1736,1291.076,-65.9723,227.1029,-212.9469,0.0266,0.0
